date,KansasCity,Seattle,SanJose,SanFrancisco,Austin,Pittsburgh,Boston,Chicago,NY_NJ,Philadelphia,Columbus
2004-01-01,160.96,173.08,223.79,223.11,153.11,143.68,234.96,162.99,198.64,164.57,146.71
2004-04-01,162.61,178.11,232.36,232.43,153.73,144.58,240.31,167.31,205.42,171.45,147.62
2004-07-01,165.52,185.36,249.58,249.02,153.83,146.52,252.05,174.43,219.09,181.01,149.6
2004-10-01,167.36,189.17,255.26,256.25,156.22,148.69,256.37,177.01,224.17,187.04,151.53
2005-01-01,169.78,195.27,267.06,267.15,157.14,149.58,261.42,181.21,230.98,192.59,152.84
2005-04-01,171.15,205.25,287.24,283.09,160.55,151.79,267.28,186.69,241.29,202.22,154.65
2005-07-01,173,213.49,297.75,293.37,163.57,153.69,270.18,191.11,250.55,210.34,155.94
2005-10-01,174.51,222.1,309.48,301.59,165.61,153.5,272.48,195.63,258.05,216.09,156.37
2006-01-01,175.83,230.77,312.11,306.07,167.67,154.49,272.67,198.8,263.56,219.75,156.56
2006-04-01,174.58,240.34,317.31,306.71,173.18,154.91,267.89,201.23,265.78,223.51,156.44
2006-07-01,175.8,248.02,320.21,311.16,176.75,155.34,266.34,203.19,267.8,226.27,156.33
2006-10-01,178.41,252.89,318.3,307.09,180.32,157.42,266.6,204.92,269.58,229.36,156.7
2007-01-01,178.41,258.45,312.61,307.43,184.48,158.04,263.6,205.95,270.62,231.38,156.66
2007-04-01,178.77,262.81,315.88,306.31,189.95,158.87,259.42,205.47,270.1,232.36,155.94
2007-07-01,177.31,263.76,309.55,306.18,191.83,158.98,254.22,203.33,266.98,232.73,154.93
2007-10-01,177.27,263.98,302.85,298.93,193.35,160.01,254.35,203.33,266.29,233.19,155.1
2008-01-01,176.87,262.23,294.12,292.05,196.66,162.67,253.83,201.57,265.78,234.11,155.9
2008-04-01,174.88,256.36,280.71,280.29,197.75,161.34,245.33,196.25,259.15,231.71,153.31
2008-07-01,171.01,248.03,266.07,271.22,197.21,160.42,239.83,188.3,250.86,228.54,150.57
2008-10-01,170.78,243.3,258.84,266.91,197.62,160.06,240.21,186.74,248.27,228.03,151.41
2009-01-01,173.48,240.36,251.93,262.53,198.14,163.48,239.89,185.53,248.48,229.58,153.35
2009-04-01,171.15,228.54,238.92,252.44,196.04,163.06,234.02,177.64,242.17,225.74,150.21
2009-07-01,167.61,220.66,235.72,249.29,194.46,161.08,229.38,170.68,235.58,221.4,147.94
2009-10-01,166.59,217.45,237.76,250.26,193.97,161.23,230.07,168.57,233.67,220.99,147.78
2010-01-01,164.92,213.87,239.04,249.09,193.15,160.85,228.17,164.91,232.06,219.87,146.23
2010-04-01,164.91,211.52,241.64,248.85,193.07,161.22,228.46,162.06,230.66,219.29,145.32
2010-07-01,166.06,210.98,242.91,250.07,194.51,164.33,230.18,163.07,231.95,221.16,147.33
2010-10-01,165.37,206.99,240.83,248.19,193.12,164.36,230.03,161.47,232.32,220.36,146.74
2011-01-01,161,199.79,235.7,242.4,189.17,162.82,226.44,155.59,229.22,215.66,142.91
2011-04-01,158.54,195.05,235.75,239.35,189.65,163.51,224.01,151.26,225.68,211.05,140.77
2011-07-01,159.11,195.85,236.57,240.83,191.52,164.45,225.89,151.69,224.65,212.52,142.63
2011-10-01,160.28,195.79,235.67,240.42,193.59,165.61,225.79,151.38,225.46,212.7,143.2
2012-01-01,158.28,193.07,234.33,239.73,193.15,164.65,224.84,148.8,224.15,211.91,141.47
2012-04-01,156.37,192.38,238.41,243.05,194.84,165.66,224.22,146.57,221.54,209.83,140.82
2012-07-01,159.18,196.61,245.61,249.49,198.12,167.35,225.94,148.33,222.62,210.48,142.98
2012-10-01,158.55,200,252.48,256.91,200.6,168.08,226.9,148.42,223.19,211.67,142.8
2013-01-01,159.07,202.22,258.81,263.32,203.91,168.46,227.97,147.81,223.76,211.32,143.21
2013-04-01,159.49,208.63,271.7,275.99,209.7,170.79,230.02,149.32,224.15,212.52,144.27
2013-07-01,161.13,215.75,285.89,289.33,216.25,171.71,232.95,150.82,225.45,213.31,146.04
2013-10-01,160.51,219.16,291.28,296.29,220.18,170.92,234.6,152.15,226.22,213.09,145.99
2014-01-01,160.93,222.26,296.73,302.5,225.56,170.97,236.81,152.98,227.49,214.29,147.58
2014-04-01,164.73,229.63,307.98,315.25,236.36,175.68,242.35,156.6,230.05,216.08,152.03
2014-07-01,166.99,235.17,315.73,324.9,241.59,177.41,245.34,158.83,233.35,217.46,153
2014-10-01,167.59,236.91,319.21,329.72,244.07,177.48,247.82,159.97,235.58,218.99,152.99
2015-01-01,168.53,240.22,324.01,335.91,247.96,178.87,249.2,161.83,238.37,221.51,154.74
2015-04-01,173,249.63,337.32,350.36,257.93,181.21,252.8,163.74,239.97,223.64,158.19
2015-07-01,174.7,257.64,349.1,366.25,265.55,183.46,257.47,164.44,243.36,224.07,161.04
2015-10-01,177.44,261.91,353.86,374.18,266.15,184,259.75,165.49,244.77,223.72,161.71
2016-01-01,177.32,269.13,358.59,379.71,272.52,185.82,262.91,166.49,246.75,225.75,163.33
2016-04-01,182.03,280.1,366.99,384.82,280.35,188.63,267.21,168.9,250.52,231.7,167.1
2016-07-01,185.61,288.71,373.39,393.86,286.73,190.34,271.99,171.34,253.75,235.51,171.18
2016-10-01,187.44,293.17,373.74,396.34,288.24,190.54,274.89,172.15,256.41,235.66,171.17
2017-01-01,188.35,301.04,373.73,396.23,292.61,190.28,275.61,171.91,258.29,237.83,172.78
2017-04-01,195.21,316.08,379.97,403.5,302.37,195.81,284.17,174.73,262.68,245.05,179.29
2017-07-01,198.61,325.34,389.25,410.85,305.42,197.2,287.55,177.01,266.21,248.6,182.64
2017-10-01,200.09,330.75,396.21,415.69,306.41,197.73,290.55,177.28,268.76,248.36,182.96
2018-01-01,204.46,339.66,410.83,426.61,310.76,199.82,293.61,178.56,272.31,253.17,186.15
2018-04-01,210.59,352.01,425.89,446,319.01,204.6,298.58,179.71,274.12,258.7,191.54
2018-07-01,212.71,352.99,429.91,454.55,323.33,206.81,302.36,180.49,276.77,261.52,193.84
2018-10-01,214.64,350.15,425.22,445.29,323.01,205.8,303.32,179.9,276.45,263.21,194.56
2019-01-01,216.58,352.75,418.6,440.92,330.98,209.01,307.04,181.68,279,265.58,196.87
2019-04-01,221.52,357.82,420.62,439.89,338.37,213.29,311.24,184.41,282.04,271.31,202.29
2019-07-01,224.09,360.49,418.69,441.56,343.19,216.35,314.53,186.2,285.47,275.72,204.73
2019-10-01,226.81,362.74,414.82,442.42,346.31,217.69,317.45,186.88,287.87,278.79,206.58
2020-01-01,229.02,368.31,415.93,435.18,352.26,220.49,320.6,187.8,289.97,281.41,210.12
2020-04-01,232.89,373.06,416.72,431.26,357.72,223.03,323.25,188.9,291.01,284.47,212.5
2020-07-01,238.61,380.18,416.47,424.82,364.5,227.55,329.02,190.73,294.87,291.25,217.63
2020-10-01,243.96,388.55,419.24,424.41,377.9,231.33,335.5,192.95,299.98,296.19,222.65
2021-01-01,248.7,397.78,424.07,421.63,394.19,235.99,342.88,195.09,305.37,302.34,227.18
